DN	Draw Date	L1	L2	L3	L4	L5	L6
639	06-Mar-12	3	8	30	32	34	39
640	08-Mar-12	4	12	17	22	23	42
641	10-Mar-12	26	28	32	37	39	42
642	13-Mar-12	4	9	12	20	30	40
643	15-Mar-12	4	6	15	21	32	35
644	17-Mar-12	13	18	20	24	39	42
645	20-Mar-12	1	2	13	18	21	37
646	22-Mar-12	1	3	14	24	27	28
647	24-Mar-12	4	5	11	15	30	42
648	27-Mar-12	2	6	19	22	27	35
649	29-Mar-12	3	23	27	29	30	33
650	31-Mar-12	1	8	17	22	23	30
651	03-Apr-12	5	6	18	19	38	40
652	10-Apr-12	3	12	15	17	22	23
653	12-Apr-12	5	8	26	29	34	35
654	14-Apr-12	2	3	6	14	26	31
655	17-Apr-12	1	17	22	24	30	38
656	19-Apr-12	2	23	31	33	34	39
657	21-Apr-12	9	12	14	19	24	35
658	24-Apr-12	1	4	10	13	24	37
659	26-Apr-12	11	18	19	24	33	42
660	28-Apr-12	3	7	9	11	17	31
661	01-May-12	2	13	15	19	25	41
662	03-May-12	6	9	11	13	20	30
663	05-May-12	12	13	21	26	32	36
664	08-May-12	12	16	21	22	38	42
665	10-May-12	8	14	18	24	28	29
666	12-May-12	6	14	22	27	28	36
667	15-May-12	2	8	15	30	31	35
668	17-May-12	5	6	8	24	33	39
669	19-May-12	15	24	26	32	37	40
670	22-May-12	13	16	26	27	29	37
671	24-May-12	6	10	20	32	35	37
672	26-May-12	1	7	9	10	11	41
673	29-May-12	18	23	32	35	36	39
674	31-May-12	8	11	14	16	19	30
675	02-Jun-12	2	6	13	20	27	31
676	05-Jun-12	13	20	28	29	31	33
677	07-Jun-12	6	10	21	22	30	33
678	09-Jun-12	17	18	29	30	33	41
679	12-Jun-12	6	9	16	23	27	36
680	14-Jun-12	2	20	22	30	35	37
681	16-Jun-12	4	9	13	18	34	39
682	19-Jun-12	2	8	9	15	33	42
683	21-Jun-12	13	19	20	23	34	42
684	23-Jun-12	3	4	16	27	28	32
685	26-Jun-12	3	10	11	14	21	22
686	28-Jun-12	5	10	13	14	25	30
687	30-Jun-12	3	4	29	31	37	39
688	03-Jul-12	5	10	18	22	23	27
689	05-Jul-12	4	20	21	26	33	40
690	07-Jul-12	3	11	23	33	40	42
691	10-Jul-12	8	14	18	20	30	34
692	12-Jul-12	1	6	13	17	22	32
693	14-Jul-12	13	14	18	22	23	29
694	17-Jul-12	7	8	19	22	23	28
695	19-Jul-12	6	12	16	21	35	37
696	21-Jul-12	2	19	26	29	32	41
697	24-Jul-12	15	17	26	28	32	34
698	26-Jul-12	14	15	21	23	25	28
699	28-Jul-12	2	3	5	10	31	34
700	31-Jul-12	1	2	4	28	29	41
701	02-Aug-12	1	6	10	20	32	38
702	04-Aug-12	15	19	23	28	30	33
703	07-Aug-12	4	15	20	35	39	41
704	09-Aug-12	14	22	25	33	41	42
705	11-Aug-12	10	15	19	23	38	42
706	14-Aug-12	7	12	16	21	24	42
707	16-Aug-12	5	6	22	24	37	39
708	18-Aug-12	21	24	26	27	36	41
709	21-Aug-12	4	17	18	24	33	35
710	23-Aug-12	2	17	22	24	25	26
711	25-Aug-12	2	4	11	16	23	35
712	28-Aug-12	4	9	11	12	27	29
713	30-Aug-12	7	12	19	27	32	35
714	01-Sep-12	9	16	18	28	33	42
715	04-Sep-12	3	7	19	20	30	39
716	06-Sep-12	6	19	21	29	33	37
717	08-Sep-12	3	7	24	25	27	35
718	11-Sep-12	8	12	14	15	16	42
719	13-Sep-12	8	9	19	28	38	42
720	15-Sep-12	3	7	16	25	28	38
721	18-Sep-12	6	13	24	34	39	40
722	20-Sep-12	19	27	30	31	37	40
723	22-Sep-12	1	3	18	19	31	41
724	25-Sep-12	6	20	25	30	32	36
725	27-Sep-12	3	5	19	30	35	41
726	29-Sep-12	4	9	10	15	21	23
727	02-Oct-12	6	12	26	32	37	41
728	04-Oct-12	1	4	8	9	33	37
729	06-Oct-12	11	16	20	26	33	40
730	09-Oct-12	13	19	25	30	34	38
731	11-Oct-12	15	18	19	23	36	39
732	13-Oct-12	3	6	8	10	29	36
733	16-Oct-12	5	10	13	19	29	39
734	18-Oct-12	5	11	12	21	22	28
735	20-Oct-12	7	12	15	19	26	38
736	23-Oct-12	2	7	11	28	36	39
737	25-Oct-12	2	9	11	17	18	33
738	27-Oct-12	7	11	18	26	29	41
739	30-Oct-12	2	12	13	33	35	39
740	01-Nov-12	14	18	19	36	37	39
741	03-Nov-12	14	16	20	23	36	37
742	06-Nov-12	7	13	16	25	34	42
743	08-Nov-12	2	4	20	22	24	32
744	10-Nov-12	7	9	18	33	35	36
745	13-Nov-12	4	6	29	32	35	36
746	15-Nov-12	6	8	11	20	30	38
747	17-Nov-12	4	7	10	19	24	28
748	20-Nov-12	7	12	25	29	35	39
749	22-Nov-12	12	19	22	27	29	33
750	24-Nov-12	12	16	33	35	37	39
751	27-Nov-12	1	21	27	29	32	35
752	29-Nov-12	9	12	20	23	31	35
753	01-Dec-12	14	15	17	29	32	42
754	04-Dec-12	3	4	21	39	40	42
755	06-Dec-12	6	16	17	21	34	40
756	08-Dec-12	3	5	25	27	32	40
757	11-Dec-12	8	12	18	21	37	40
758	13-Dec-12	6	8	16	21	23	24
759	15-Dec-12	6	14	15	23	32	37
760	18-Dec-12	8	9	18	22	25	35
761	20-Dec-12	1	12	18	37	40	42
762	22-Dec-12	7	8	9	10	13	35
763	27-Dec-12	5	11	27	30	37	39
764	29-Dec-12	4	13	14	16	26	33
765	03-Jan-13	8	21	23	27	37	39
766	05-Jan-13	15	19	23	28	31	33
767	08-Jan-13	2	8	20	21	23	33
768	10-Jan-13	3	15	30	39	41	42
769	12-Jan-13	5	14	27	30	34	41
770	15-Jan-13	1	5	9	10	18	22
771	17-Jan-13	8	28	32	35	36	42
772	19-Jan-13	4	10	22	26	35	40
773	22-Jan-13	8	16	17	21	27	34
774	24-Jan-13	12	19	24	33	34	41
775	26-Jan-13	12	14	28	34	36	42
776	29-Jan-13	14	23	30	35	36	41
777	31-Jan-13	9	13	16	29	30	41
778	02-Feb-13	11	18	27	31	40	42
779	05-Feb-13	11	15	19	28	33	42
780	07-Feb-13	2	9	17	19	22	42
781	09-Feb-13	10	11	15	19	27	38
782	12-Feb-13	5	13	17	19	30	39
783	14-Feb-13	4	16	19	20	34	41
784	16-Feb-13	1	6	8	12	28	37
785	19-Feb-13	7	11	16	24	26	27
786	21-Feb-13	2	9	10	20	30	33
787	23-Feb-13	8	22	24	31	34	35
788	26-Feb-13	5	16	17	22	24	26
789	28-Feb-13	13	14	20	25	30	35
790	02-Mar-13	2	5	7	16	20	40
791	05-Mar-13	3	5	16	37	40	41
792	07-Mar-13	8	11	18	26	38	40
793	09-Mar-13	12	16	20	32	35	36
794	12-Mar-13	2	21	26	31	34	42
795	14-Mar-13	6	7	15	17	32	40
796	16-Mar-13	4	14	17	29	30	38
797	19-Mar-13	2	7	11	14	31	33
798	21-Mar-13	16	21	25	29	30	35
799	23-Mar-13	1	7	15	22	29	35
800	26-Mar-13	3	20	31	32	38	41
801	02-Apr-13	1	5	8	23	24	37
802	04-Apr-13	4	6	27	31	39	40
803	06-Apr-13	1	7	22	24	30	41
804	09-Apr-13	5	24	27	29	30	31
805	11-Apr-13	6	7	17	19	22	24
806	13-Apr-13	3	11	18	22	24	39
807	16-Apr-13	7	12	17	23	26	28
808	18-Apr-13	8	16	18	24	31	33
809	20-Apr-13	12	15	19	25	31	33
810	23-Apr-13	13	14	30	33	37	39
811	25-Apr-13	2	5	16	20	26	32
812	27-Apr-13	3	6	14	19	39	40
813	30-Apr-13	3	20	26	33	36	37
814	02-May-13	2	5	12	16	18	28
815	04-May-13	8	16	21	25	29	32
816	07-May-13	1	4	10	15	35	38
817	09-May-13	2	7	10	22	24	37
818	11-May-13	1	9	14	20	31	34
819	14-May-13	3	4	9	35	40	41
820	16-May-13	3	7	11	13	22	24
821	18-May-13	7	28	29	30	38	42
822	21-May-13	4	11	22	31	34	35
823	23-May-13	16	18	26	27	29	34
824	25-May-13	4	16	20	24	27	32
825	28-May-13	3	4	5	10	16	21
826	30-May-13	4	8	13	30	31	32
827	01-Jun-13	9	14	22	27	28	34
828	04-Jun-13	4	11	15	31	33	34
829	06-Jun-13	5	10	13	19	22	25
830	08-Jun-13	7	21	22	27	30	33
831	11-Jun-13	4	19	20	28	30	39
832	13-Jun-13	9	14	18	22	30	33
833	15-Jun-13	6	21	23	33	34	38
834	18-Jun-13	19	24	28	32	35	36
835	20-Jun-13	13	19	23	27	32	37
836	22-Jun-13	1	4	7	14	17	35
837	25-Jun-13	7	11	26	32	33	36
838	27-Jun-13	8	22	27	32	35	38
839	29-Jun-13	8	26	28	35	38	39
840	02-Jul-13	7	8	10	16	25	27
841	04-Jul-13	8	13	14	20	37	39
842	06-Jul-13	13	20	23	25	27	28
843	09-Jul-13	7	11	15	21	29	39
844	11-Jul-13	8	14	15	16	27	37
845	13-Jul-13	7	12	23	26	34	38
846	16-Jul-13	1	3	24	27	29	42
847	18-Jul-13	5	10	27	29	34	35
848	20-Jul-13	2	3	8	9	36	38
849	23-Jul-13	6	12	13	31	32	42
850	25-Jul-13	4	7	19	21	22	25
851	27-Jul-13	16	29	30	36	39	41
852	30-Jul-13	10	14	20	27	30	35
853	01-Aug-13	5	10	11	22	27	42
854	03-Aug-13	6	14	35	37	40	41
855	06-Aug-13	4	7	13	29	38	41
856	08-Aug-13	7	8	20	24	29	40
857	10-Aug-13	11	19	30	35	39	40
858	13-Aug-13	8	15	18	19	30	40
859	15-Aug-13	8	11	13	30	37	40
860	17-Aug-13	8	11	25	32	35	37
861	20-Aug-13	13	15	16	30	35	42
862	22-Aug-13	1	6	8	10	18	42
863	24-Aug-13	1	22	25	29	38	40
864	27-Aug-13	2	16	18	35	38	39
865	29-Aug-13	9	17	29	34	36	42
866	31-Aug-13	2	5	20	28	35	41
867	03-Sep-13	1	16	22	36	38	39
868	05-Sep-13	6	11	23	31	35	40
869	07-Sep-13	21	24	27	29	32	40
870	10-Sep-13	13	15	16	17	28	36
871	12-Sep-13	8	12	23	24	25	40
872	14-Sep-13	1	9	28	30	31	34
873	17-Sep-13	5	9	22	27	32	36
874	19-Sep-13	16	21	35	37	38	42
875	21-Sep-13	2	5	8	20	25	39
876	24-Sep-13	11	14	22	31	33	34
877	26-Sep-13	1	3	4	19	26	27
878	28-Sep-13	2	18	26	35	38	40
879	01-Oct-13	3	7	14	17	23	32
880	03-Oct-13	9	11	18	31	33	38
881	05-Oct-13	1	6	11	13	23	31
882	08-Oct-13	3	4	19	24	31	37
883	10-Oct-13	9	16	19	27	35	42
884	12-Oct-13	6	9	13	36	37	39
885	15-Oct-13	6	9	15	19	26	27
886	17-Oct-13	18	23	25	35	39	40
887	19-Oct-13	7	11	15	18	19	33
888	22-Oct-13	10	15	21	35	38	39
889	24-Oct-13	4	12	20	21	22	25
890	26-Oct-13	11	16	20	28	29	35
891	29-Oct-13	3	17	20	23	28	37
892	31-Oct-13	4	6	7	14	30	35
893	02-Nov-13	1	7	24	25	30	37
894	05-Nov-13	8	11	17	20	30	32
895	07-Nov-13	4	18	19	20	22	41
896	09-Nov-13	2	3	8	28	30	42
897	12-Nov-13	3	5	16	24	25	32
898	14-Nov-13	4	14	15	18	39	42
899	16-Nov-13	2	3	17	26	30	41
900	19-Nov-13	10	26	32	36	40	41
901	21-Nov-13	14	16	28	32	36	38
902	23-Nov-13	15	17	18	30	35	40
903	26-Nov-13	1	2	15	22	34	36
904	28-Nov-13	8	10	12	20	26	32
905	30-Nov-13	1	7	24	33	40	42
906	03-Dec-13	3	6	15	20	23	25
907	05-Dec-13	4	9	17	26	29	41
908	07-Dec-13	2	3	11	16	18	30
909	10-Dec-13	12	19	21	25	38	42
910	12-Dec-13	4	15	18	21	32	37
911	14-Dec-13	3	4	11	13	27	38
912	17-Dec-13	1	10	18	24	34	35
913	19-Dec-13	5	10	12	17	30	36
914	21-Dec-13	2	4	25	32	34	38
915	24-Dec-13	1	15	16	20	24	41
916	26-Dec-13	3	20	29	36	40	41
917	28-Dec-13	3	11	16	31	34	41
918	31-Dec-13	14	19	29	37	38	41
919	02-Jan-14	4	10	14	15	16	39
920	04-Jan-14	6	7	18	26	33	40
921	07-Jan-14	6	10	25	32	38	41
922	09-Jan-14	13	19	20	21	23	27
923	11-Jan-14	16	19	21	22	34	38
924	14-Jan-14	8	14	24	36	37	42
925	16-Jan-14	11	12	22	29	33	36
926	18-Jan-14	3	8	25	26	27	41
927	21-Jan-14	3	10	12	19	32	37
928	23-Jan-14	3	9	11	15	22	40
929	25-Jan-14	7	20	22	24	34	35
930	28-Jan-14	12	17	19	20	27	31
931	30-Jan-14	4	7	9	19	33	40
932	01-Feb-14	4	8	11	12	20	21
933	04-Feb-14	8	9	23	24	28	33
934	06-Feb-14	1	5	9	32	33	37
935	08-Feb-14	6	9	11	16	19	22
936	11-Feb-14	20	22	29	35	41	42
937	13-Feb-14	5	11	21	25	39	41
938	15-Feb-14	3	12	16	29	31	34
939	18-Feb-14	5	16	21	26	30	32
940	20-Feb-14	6	8	10	20	26	35
941	22-Feb-14	8	16	27	32	34	38
942	25-Feb-14	6	14	21	32	37	40
943	27-Feb-14	15	16	19	24	28	38
944	01-Mar-14	2	3	4	21	29	31
945	04-Mar-14	3	24	25	30	34	35
946	06-Mar-14	4	9	10	21	26	39
947	08-Mar-14	1	2	3	11	22	37
948	11-Mar-14	6	12	25	34	38	40
949	13-Mar-14	1	5	15	20	21	23
950	15-Mar-14	4	12	19	22	25	26
951	18-Mar-14	10	14	19	20	21	24
952	20-Mar-14	8	10	11	13	16	32
953	22-Mar-14	1	21	28	30	35	42
954	25-Mar-14	5	6	15	18	24	27
955	27-Mar-14	5	12	27	31	34	41
956	29-Mar-14	7	13	16	23	29	32
957	01-Apr-14	4	8	12	27	33	40
958	03-Apr-14	1	3	23	25	31	36
959	05-Apr-14	2	9	14	21	25	31
960	08-Apr-14	2	5	14	28	30	37
961	10-Apr-14	2	7	19	27	41	42
962	12-Apr-14	13	28	33	39	40	41
963	15-Apr-14	1	3	15	18	30	31
964	22-Apr-14	5	11	22	30	33	41
965	24-Apr-14	1	17	31	34	37	42
966	26-Apr-14	13	18	20	26	27	32
967	29-Apr-14	5	6	11	20	39	42
968	01-May-14	28	29	34	37	40	41
969	03-May-14	12	14	18	19	22	27
970	06-May-14	3	10	12	20	33	41
971	08-May-14	1	8	21	23	26	37
972	10-May-14	13	19	22	24	29	34
973	13-May-14	5	15	16	19	29	40
974	15-May-14	7	10	20	27	39	42
975	17-May-14	2	14	21	27	28	34
976	20-May-14	14	18	19	20	26	34
977	22-May-14	6	12	14	16	17	20
978	24-May-14	5	11	18	31	38	41
979	27-May-14	13	17	21	38	40	42
980	29-May-14	4	5	10	12	30	31
981	31-May-14	2	14	18	27	30	39
982	03-Jun-14	4	5	9	17	23	28
983	05-Jun-14	4	8	14	22	23	35
984	07-Jun-14	17	26	30	31	33	38
985	10-Jun-14	10	15	25	28	39	41
986	12-Jun-14	4	17	23	27	33	41
987	14-Jun-14	1	5	8	11	15	37
988	17-Jun-14	14	18	24	27	33	38
989	19-Jun-14	5	6	30	32	33	35
990	21-Jun-14	12	14	17	21	26	38
991	24-Jun-14	4	5	23	26	29	36
992	26-Jun-14	13	16	18	27	30	31
993	28-Jun-14	1	4	6	18	27	29
994	01-Jul-14	6	22	30	32	37	39
995	03-Jul-14	2	4	6	22	30	40
996	05-Jul-14	8	11	21	27	37	39
997	08-Jul-14	4	15	17	26	37	38
998	10-Jul-14	18	20	23	26	31	33
999	12-Jul-14	3	23	32	34	38	39
1000	15-Jul-14	1	7	12	17	19	31
1001	17-Jul-14	2	4	21	31	34	36
1002	19-Jul-14	3	15	26	29	35	42
1003	22-Jul-14	4	18	21	23	31	40
1004	24-Jul-14	3	5	15	16	24	37
1005	26-Jul-14	6	11	26	33	38	41
1006	29-Jul-14	4	10	28	33	36	40
1007	31-Jul-14	9	17	22	23	29	35
1008	02-Aug-14	5	9	19	21	31	36
1009	05-Aug-14	3	13	18	24	36	39
1010	07-Aug-14	3	21	22	26	31	38
1011	09-Aug-14	16	17	31	37	38	41
1012	12-Aug-14	5	11	20	31	33	40
1013	14-Aug-14	5	20	27	29	32	34
1014	16-Aug-14	8	19	22	26	38	40
1015	19-Aug-14	1	2	17	28	32	40
1016	21-Aug-14	12	27	32	34	35	38
1017	23-Aug-14	8	9	13	15	16	28
1018	26-Aug-14	1	7	24	28	34	42
1019	28-Aug-14	7	24	30	35	38	42
1020	30-Aug-14	5	9	10	12	17	28
1021	02-Sep-14	4	8	22	28	29	40
1022	04-Sep-14	1	4	24	28	29	41
1023	06-Sep-14	15	21	27	39	40	42
1024	09-Sep-14	1	12	13	20	24	36
1025	11-Sep-14	19	20	22	25	30	39
1026	13-Sep-14	7	16	22	28	29	41
1027	16-Sep-14	3	18	20	22	26	35
1028	18-Sep-14	2	4	19	35	37	41
1029	20-Sep-14	1	2	8	20	24	29
1030	23-Sep-14	7	8	20	26	36	42
1031	25-Sep-14	1	10	12	21	37	40
1032	27-Sep-14	1	25	31	38	39	41
1033	30-Sep-14	1	15	20	25	30	42
1034	02-Oct-14	9	21	31	36	40	41
1035	04-Oct-14	1	10	11	32	34	35
1036	07-Oct-14	14	16	19	24	25	35
1037	09-Oct-14	1	6	7	11	17	26
1038	11-Oct-14	4	12	15	33	34	35
1039	14-Oct-14	2	7	12	19	34	37
1040	16-Oct-14	2	4	12	19	35	39
1041	18-Oct-14	3	10	15	20	38	42
1042	21-Oct-14	5	9	13	28	30	42
1043	23-Oct-14	2	4	14	17	23	41
1044	25-Oct-14	5	6	7	14	37	40
1045	28-Oct-14	10	11	14	19	26	32
1046	30-Oct-14	12	14	27	28	32	40
1047	01-Nov-14	8	9	11	21	30	37
1048	04-Nov-14	1	2	4	35	37	39
1049	06-Nov-14	7	27	33	34	40	42
1050	08-Nov-14	5	19	22	25	27	38
1051	11-Nov-14	2	9	15	20	21	30
1052	13-Nov-14	13	20	23	35	40	41
1053	15-Nov-14	10	13	14	20	23	31
1054	18-Nov-14	19	20	23	26	29	34
1055	20-Nov-14	2	3	7	9	17	37
1056	22-Nov-14	2	21	24	30	36	37
1057	25-Nov-14	2	3	7	33	38	41
1058	27-Nov-14	14	19	23	29	30	34
1059	29-Nov-14	9	14	21	33	36	38
1060	02-Dec-14	9	10	15	18	20	27
1061	04-Dec-14	9	28	30	34	40	41
1062	06-Dec-14	10	17	34	35	41	42
1063	09-Dec-14	2	16	25	33	35	39
1064	11-Dec-14	2	16	20	26	31	34
1065	13-Dec-14	1	2	7	20	31	42
1066	16-Dec-14	2	7	35	37	38	39
1067	18-Dec-14	6	7	12	15	28	35
1068	20-Dec-14	10	12	23	29	35	41
1069	23-Dec-14	4	9	11	24	29	37
1070	27-Dec-14	10	18	25	33	40	41
1071	30-Dec-14	1	3	10	13	27	36
1072	03-Jan-15	6	28	29	32	39	41
1073	06-Jan-15	10	11	15	24	36	37
1074	08-Jan-15	4	19	30	35	36	41
1075	10-Jan-15	5	6	23	26	39	40
1076	13-Jan-15	9	24	25	29	30	34
1077	15-Jan-15	1	4	7	15	27	41
1078	17-Jan-15	1	6	33	36	39	42
1079	20-Jan-15	15	24	30	33	37	40
1080	22-Jan-15	2	3	23	25	29	36
1081	24-Jan-15	3	19	20	22	23	34
1082	27-Jan-15	2	7	8	9	20	41
1083	29-Jan-15	9	11	14	19	21	41
1084	31-Jan-15	6	23	24	25	38	39
1085	03-Feb-15	5	11	13	22	26	38
1086	05-Feb-15	9	13	21	26	27	33
1087	07-Feb-15	12	17	19	26	29	41
1088	10-Feb-15	5	6	15	24	30	36
1089	12-Feb-15	12	18	19	21	22	42
1090	14-Feb-15	5	10	17	19	20	29
1091	17-Feb-15	5	15	22	31	37	40
1092	19-Feb-15	9	13	15	23	25	42
1093	21-Feb-15	2	10	13	26	27	41
1094	24-Feb-15	4	6	15	21	30	42
1095	26-Feb-15	7	9	15	21	31	40
1096	28-Feb-15	4	6	11	19	22	39
1097	03-Mar-15	7	12	25	27	33	42
1098	05-Mar-15	10	12	15	16	21	26
1099	07-Mar-15	1	5	17	31	32	42
1100	10-Mar-15	17	24	34	36	37	39
1101	12-Mar-15	1	12	13	23	25	40
1102	14-Mar-15	4	6	10	17	22	28
1103	17-Mar-15	10	11	12	19	38	40
1104	19-Mar-15	1	15	16	20	39	42
1105	21-Mar-15	12	14	27	34	38	41
1106	24-Mar-15	15	16	17	26	32	39
1107	26-Mar-15	13	19	25	34	35	38
1108	28-Mar-15	3	5	10	16	19	37
1109	31-Mar-15	12	13	21	28	37	38
1110	07-Apr-15	8	11	27	32	36	40
1111	09-Apr-15	18	28	31	34	39	41
1112	11-Apr-15	8	11	18	32	33	35
1113	14-Apr-15	10	15	25	30	40	42
1114	16-Apr-15	12	13	17	25	26	33
1115	18-Apr-15	1	5	8	24	28	29
1116	21-Apr-15	2	12	15	17	39	42
1117	23-Apr-15	26	28	35	36	39	42
1118	25-Apr-15	2	6	13	22	23	41
1119	28-Apr-15	8	11	16	35	38	40
1120	30-Apr-15	4	11	23	25	28	34
1121	02-May-15	4	8	11	12	16	42
1122	05-May-15	16	21	26	27	39	40
1123	07-May-15	2	7	22	24	26	37
1124	09-May-15	1	3	6	15	19	30
1125	12-May-15	4	8	17	26	32	41
1126	14-May-15	2	8	16	21	26	33
1127	16-May-15	2	10	16	17	31	42
1128	19-May-15	2	4	6	13	22	38
1129	21-May-15	4	8	10	14	29	33
1130	23-May-15	27	29	32	33	36	41
1131	26-May-15	13	14	18	26	33	42
1132	28-May-15	2	14	21	27	31	40
1133	30-May-15	2	10	15	20	25	39
1134	02-Jun-15	1	3	12	16	20	29
1135	04-Jun-15	5	12	19	31	38	41
1136	06-Jun-15	10	14	26	31	38	42
1137	09-Jun-15	7	19	20	29	32	34
1138	11-Jun-15	5	6	8	13	20	32
1139	13-Jun-15	2	10	28	30	40	42
1140	16-Jun-15	1	4	10	17	22	39
1141	18-Jun-15	2	7	11	15	16	29
1142	20-Jun-15	19	30	34	35	36	38
1143	23-Jun-15	1	9	12	18	27	37
1144	25-Jun-15	5	14	17	19	22	42
1145	27-Jun-15	5	6	13	24	29	36
1146	30-Jun-15	7	15	16	20	28	34
1147	02-Jul-15	9	25	34	35	37	42
1148	04-Jul-15	12	26	32	33	39	41
1149	07-Jul-15	7	16	18	28	37	41
1150	09-Jul-15	3	22	26	30	34	37
1151	11-Jul-15	11	21	22	27	28	39
1152	14-Jul-15	5	13	19	21	29	40
1153	16-Jul-15	2	3	8	15	25	26
1154	18-Jul-15	7	10	15	18	23	40
1155	21-Jul-15	2	10	15	18	26	29
1156	23-Jul-15	9	18	27	29	32	37
1157	25-Jul-15	9	13	14	22	29	35
1158	28-Jul-15	9	10	12	14	18	33
1159	30-Jul-15	6	28	32	33	37	42
1160	01-Aug-15	7	14	19	25	27	31
1161	04-Aug-15	20	21	23	25	34	37
1162	06-Aug-15	1	5	12	15	17	40
1163	08-Aug-15	4	5	12	25	34	36
1164	11-Aug-15	15	22	24	27	28	39
1165	13-Aug-15	11	22	27	31	32	42
1166	15-Aug-15	8	10	25	27	31	36
1167	18-Aug-15	7	8	13	22	32	40
1168	20-Aug-15	9	19	24	30	35	38
1169	22-Aug-15	7	10	21	24	28	33
1170	25-Aug-15	9	12	15	19	38	41
1171	27-Aug-15	2	10	11	13	16	29
1172	29-Aug-15	4	12	19	20	25	31
1173	01-Sep-15	8	9	22	23	27	30
1174	03-Sep-15	16	18	20	22	23	27
1175	05-Sep-15	7	16	26	28	30	39
1176	08-Sep-15	11	16	28	33	37	40
1177	10-Sep-15	9	11	12	37	39	42
1178	12-Sep-15	6	9	11	39	41	42
1179	15-Sep-15	3	5	20	26	39	42
1180	17-Sep-15	3	27	28	34	38	39
1181	19-Sep-15	15	22	24	28	36	38
1182	22-Sep-15	4	15	24	34	35	38
1183	24-Sep-15	8	10	15	29	36	40
1184	26-Sep-15	11	21	36	38	39	41
1185	29-Sep-15	1	9	13	19	21	30
1186	01-Oct-15	7	10	15	19	22	37
1187	03-Oct-15	11	20	26	29	35	42
1188	06-Oct-15	13	14	23	32	34	39
1189	08-Oct-15	2	17	21	32	36	38
1190	10-Oct-15	1	15	16	18	40	41
1191	13-Oct-15	9	12	13	14	36	39
1192	15-Oct-15	17	21	24	26	30	33
1193	17-Oct-15	15	17	24	28	33	34
1194	20-Oct-15	1	14	18	19	24	32
1195	22-Oct-15	1	13	23	24	36	41
1196	24-Oct-15	3	14	22	23	37	40
1197	27-Oct-15	8	12	13	24	34	40
1198	29-Oct-15	3	9	12	31	33	40
1199	31-Oct-15	6	8	15	21	27	30
1200	03-Nov-15	2	20	25	27	29	36
1201	05-Nov-15	13	18	30	32	38	39
1202	07-Nov-15	1	4	6	11	17	24
1203	10-Nov-15	3	10	14	21	23	28
1204	12-Nov-15	15	17	30	32	33	42
1205	14-Nov-15	2	14	15	19	21	31
1206	17-Nov-15	14	16	20	23	30	40
1207	19-Nov-15	3	7	12	19	25	37
1208	21-Nov-15	4	6	12	16	32	36
1209	24-Nov-15	1	10	30	31	32	37
1210	26-Nov-15	12	13	20	21	36	41
1211	28-Nov-15	7	15	19	21	22	39
1212	01-Dec-15	7	12	17	31	33	35
1213	03-Dec-15	1	18	19	26	34	41
1214	05-Dec-15	5	22	28	30	40	42
1215	08-Dec-15	22	25	26	31	33	40
1216	10-Dec-15	20	23	25	33	35	39
1217	12-Dec-15	1	4	11	12	20	32
1218	15-Dec-15	14	19	20	21	22	40
1219	17-Dec-15	13	23	25	26	27	32
1220	19-Dec-15	4	25	28	31	38	42
1221	22-Dec-15	18	24	27	32	36	37
1222	24-Dec-15	11	13	15	36	37	39
1223	26-Dec-15	5	8	11	28	34	37
1224	29-Dec-15	3	4	12	14	31	42
1225	31-Dec-15	1	20	32	38	40	42
1226	02-Jan-16	4	7	13	16	25	31
1227	05-Jan-16	2	3	11	14	28	40
1228	07-Jan-16	3	4	18	29	32	42
1229	09-Jan-16	3	7	12	21	26	31
1230	12-Jan-16	3	8	21	32	39	41
1231	14-Jan-16	6	15	25	34	36	42
1232	16-Jan-16	9	17	24	25	26	41
1233	19-Jan-16	16	19	22	27	34	40
1234	21-Jan-16	10	16	25	29	35	42
1235	23-Jan-16	4	12	19	25	29	35
1236	26-Jan-16	16	22	31	34	40	41
1237	28-Jan-16	1	3	4	13	25	38
1238	30-Jan-16	7	10	15	19	26	28
1239	02-Feb-16	17	19	28	33	39	40
1240	04-Feb-16	9	13	32	35	37	39
1241	06-Feb-16	9	14	17	21	35	37
1242	09-Feb-16	4	5	7	12	13	33
1243	11-Feb-16	2	7	22	23	39	42
1244	13-Feb-16	2	15	16	25	30	35
1245	16-Feb-16	1	19	28	31	38	40
1246	18-Feb-16	1	6	12	17	32	39
1247	20-Feb-16	1	18	23	25	40	42
1248	23-Feb-16	4	8	11	26	31	32
1249	25-Feb-16	5	11	14	16	21	34
1250	27-Feb-16	3	6	14	21	23	37
1251	01-Mar-16	4	5	7	13	19	37
1252	03-Mar-16	2	8	19	21	31	42
1253	05-Mar-16	5	6	10	17	22	28
1254	08-Mar-16	9	21	26	27	30	31
1255	10-Mar-16	7	15	19	24	27	34
1256	12-Mar-16	4	6	20	22	27	38
1257	15-Mar-16	1	15	20	30	40	41
1258	17-Mar-16	10	13	23	34	36	38
1259	19-Mar-16	3	26	30	31	36	39
1260	22-Mar-16	8	13	19	24	25	35
1261	29-Mar-16	1	2	10	16	18	32
1262	31-Mar-16	5	7	14	17	27	35
1263	02-Apr-16	1	2	11	14	26	42
1264	05-Apr-16	11	12	21	24	34	37
1265	07-Apr-16	4	6	7	15	23	36
